"latlng","name","type"
"26.778757199999998,81.04986740000001","Bakkas ","[u'locality', u'political'] "
"26.779216499999997,81.05036340000001","Bakkas ","[u'locality', u'political'] "
"26.779089399999997,81.05023349999999","Bakkas ","[u'locality', u'political'] "
"26.781955800000002,81.05114250000001","Bakkas ","[u'locality', u'political'] "
"26.778908,81.050027","Bakkas ","[u'locality', u'political'] "
"26.778805699999996,81.0499803","Bakkas ","[u'locality', u'political'] "
"26.778783100000002,81.04993449999999","Bakkas ","[u'locality', u'political'] "
"26.780277,81.0494522","Bakkas ","[u'locality', u'political'] "
"26.7888868,81.0280199","Chak Kajehra ","[u'locality', u'political'] "
"26.794800300000002,81.01766429999999","Ahmamau ","[u'locality', u'political'] "
"26.7924341,81.0149025","Ahmamau Golf City ","[u'locality', u'political'] [u'neighborhood', u'political'] "
"26.807582699999998,81.0062715","Lucknow Arjunganj ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"26.803036100000003,80.9985561","Sultanpur - Lucknow Road Surya Body Fitness Lucknow ","[u'route'] [u'gym', u'health', u'point_of_interest', u'establishment'] [u'locality', u'political'] "
"26.808662100000003,80.9831358","Lucknow Arjunganj ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"26.8100133,80.970011","Lucknow Cantonment ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"26.842597100000003,80.9544657","Lucknow Martin Purva ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"26.847661900000002,80.9879707","Lucknow Bhoomivastu.Com Vishal Khand ","[u'locality', u'political'] [u'general_contractor', u'point_of_interest', u'establishment'] [u'sublocality_level_2', u'sublocality', u'political'] "
"26.845962800000002,80.9879326","Lucknow Vipul Khand ","[u'locality', u'political'] [u'sublocality_level_2', u'sublocality', u'political'] "
"26.845950800000004,80.9879303","Lucknow Vipul Khand ","[u'locality', u'political'] [u'sublocality_level_2', u'sublocality', u'political'] "
"26.846013,80.9880109","Lucknow Vipul Khand ","[u'locality', u'political'] [u'sublocality_level_2', u'sublocality', u'political'] "
"26.8460092,80.987987","Lucknow Vipul Khand ","[u'locality', u'political'] [u'sublocality_level_2', u'sublocality', u'political'] "
"26.8457651,80.9881232","Lucknow Vipul Khand ","[u'locality', u'political'] [u'sublocality_level_2', u'sublocality', u'political'] "
"26.8456393,80.9881733","Lucknow Shine City Vipul Khand ","[u'locality', u'political'] [u'point_of_interest', u'establishment'] [u'sublocality_level_2', u'sublocality', u'political'] "
